16:21:48 | LOCK_ACQUIRED | sim=0.58
16:21:48 | MOVE_RIGHT | nose_x=0.90
16:21:48 | MOVE_LEFT | nose_x=0.49
16:21:49 | MOVE_LEFT | nose_x=0.41
16:21:50 | MOVE_LEFT | nose_x=0.41
16:21:51 | MOVE_LEFT | nose_x=0.41
16:21:52 | MOVE_LEFT | nose_x=0.43
16:21:54 | MOVE_LEFT | nose_x=0.39
16:21:55 | MOVE_LEFT | nose_x=0.40
16:21:56 | MOVE_LEFT | nose_x=0.39
16:21:57 | MOVE_LEFT | nose_x=0.39
16:21:58 | MOVE_LEFT | nose_x=0.39
16:21:59 | MOVE_LEFT | nose_x=0.39
16:22:00 | MOVE_LEFT | nose_x=0.39
16:22:01 | MOVE_LEFT | nose_x=0.39
16:22:02 | MOVE_LEFT | nose_x=0.40
16:22:03 | MOVE_LEFT | nose_x=0.40
16:22:04 | MOVE_LEFT | nose_x=0.45
16:22:07 | MOVE_RIGHT | nose_x=0.60
16:22:09 | MOVE_LEFT | nose_x=0.50
16:22:10 | MOVE_LEFT | nose_x=0.46
16:22:12 | MOVE_LEFT | nose_x=0.50
16:22:12 | MOVE_RIGHT | nose_x=0.61
16:22:13 | MOVE_LEFT | nose_x=0.49
16:22:14 | MOVE_LEFT | nose_x=0.44
16:22:15 | MOVE_LEFT | nose_x=0.32
16:22:16 | BLINK | EAR=0.21
16:22:16 | MOVE_LEFT | nose_x=-0.01
16:22:17 | MOVE_LEFT | nose_x=0.32
16:22:19 | MOVE_LEFT | nose_x=0.48
16:22:20 | MOVE_LEFT | nose_x=0.32
16:22:21 | MOVE_RIGHT | nose_x=0.60
16:22:22 | MOVE_RIGHT | nose_x=0.69
16:22:23 | MOVE_LEFT | nose_x=0.50
16:22:24 | MOVE_LEFT | nose_x=0.49
16:22:25 | MOVE_LEFT | nose_x=0.49
16:22:27 | MOVE_LEFT | nose_x=0.49
16:22:28 | MOVE_LEFT | nose_x=0.49
16:22:29 | MOVE_LEFT | nose_x=0.49
16:22:30 | MOVE_LEFT | nose_x=0.49
16:22:31 | MOVE_LEFT | nose_x=0.49
16:22:32 | MOVE_LEFT | nose_x=0.46
16:22:33 | MOVE_LEFT | nose_x=0.36
16:22:34 | MOVE_LEFT | nose_x=0.37
16:22:35 | MOVE_LEFT | nose_x=0.36
