13:49:35 | LOCK_ACQUIRED | sim=0.86
13:49:35 | MOVE_LEFT | nose_x=0.42
13:49:36 | MOVE_LEFT | nose_x=0.42
13:49:37 | MOVE_LEFT | nose_x=0.43
13:49:38 | MOVE_RIGHT | nose_x=0.60
13:49:39 | MOVE_LEFT | nose_x=0.49
13:49:40 | MOVE_LEFT | nose_x=0.20
13:49:41 | MOVE_LEFT | nose_x=0.44
13:49:43 | BLINK | EAR=0.15
13:49:43 | MOVE_LEFT | nose_x=0.50
13:49:44 | MOVE_LEFT | nose_x=0.41
13:49:45 | MOVE_LEFT | nose_x=0.44
13:49:46 | MOVE_LEFT | nose_x=0.49
13:49:47 | MOVE_LEFT | nose_x=0.45
13:49:48 | MOVE_LEFT | nose_x=0.44
13:49:49 | MOVE_LEFT | nose_x=0.44
13:49:51 | MOVE_LEFT | nose_x=0.44
13:49:52 | MOVE_LEFT | nose_x=0.44
13:49:53 | MOVE_LEFT | nose_x=0.44
13:49:54 | MOVE_LEFT | nose_x=0.43
13:49:55 | MOVE_LEFT | nose_x=0.43
13:49:56 | MOVE_LEFT | nose_x=0.42
13:49:57 | MOVE_LEFT | nose_x=0.41
13:49:58 | MOVE_LEFT | nose_x=0.41
13:49:59 | MOVE_LEFT | nose_x=0.41
13:50:00 | BLINK | EAR=0.13
13:50:00 | MOVE_LEFT | nose_x=0.41
13:50:00 | BLINK | EAR=0.13
13:50:00 | MOVE_LEFT | nose_x=0.40
13:50:00 | BLINK | EAR=0.08
13:50:00 | MOVE_LEFT | nose_x=0.40
13:50:01 | SMILE | ratio=0.45
13:50:01 | MOVE_LEFT | nose_x=0.43
13:50:02 | SMILE | ratio=0.45
13:50:02 | MOVE_LEFT | nose_x=0.44
13:50:03 | MOVE_LEFT | nose_x=0.44
13:50:03 | BLINK | EAR=0.17
13:50:03 | MOVE_LEFT | nose_x=0.43
13:50:04 | MOVE_LEFT | nose_x=0.37
13:50:05 | LOCK_LOST | Identity verification failed
13:50:06 | LOCK_ACQUIRED | sim=0.84
13:50:06 | SMILE | ratio=0.46
13:50:06 | MOVE_LEFT | nose_x=0.42
13:50:06 | BLINK | EAR=0.22
13:50:06 | MOVE_LEFT | nose_x=0.45
13:50:06 | BLINK | EAR=0.19
13:50:06 | MOVE_LEFT | nose_x=0.49
